GLOBAL UNIQUE IDENTIFIER,COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,LOCALITY ID,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER NAME,OBSERVATION TYPE,DURATION MINUTES,NUMBER OBSERVERS,ALL SPECIES REPORTED,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS130127543,House Finch,Haemorhous mexicanus,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127548,House Sparrow,Passer domesticus,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127542,Ladder-backed Woodpecker,Dryobates scalaris,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127539,Lesser Goldfinch,Spinus psaltria,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127533,Northern Cardinal,Cardinalis cardinalis,7,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127547,Northern Mockingbird,Mimus polyglottos,7,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127544,Red-winged Blackbird,Agelaius phoeniceus,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127537,Ruby-crowned Kinglet,Corthylio calendula,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127551,White-winged Dove,Zenaida asiatica,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127538,Spotted/Eastern Towhee (Rufous-sided Towhee),Pipilo maculatus/erythrophthalmus,2,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127552,Yellow-rumped Warbler,Setophaga coronata,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS138278915,American Goldfinch,Spinus tristis,4,L1210588,2012-02-03,2:00:00 PM,obsr219721,,Traveling,150,1,1,
