OBSERVATIONDATETIME	LOCATION	WEDGE	CATEGORY	COMMONNAME	SCIENTIFICNAME	STATUS	NOTES
3/1/2024	Garden	13	Plant	Horseherb	Calyptocarpus vialis	New growth	
3/1/2024	Garden	13	Plant	Gayfeather	Liatris mucronata	New growth	
3/1/2024	Garden	13	Plant	Skeleton leaf goldeneye	Viguiera stenoloba	New growth	
3/1/2024	Garden	14	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
3/1/2024	Garden	14	Plant	Chocolate daisy	Berlandiera lyrata	New growth	
3/1/2024	Garden	14	Plant	Flame acanthus	Anisacanthus quadrifidus var. wrightii	New growth	
3/1/2024	Garden	15	Plant	Snakeherb	Dyschoriste linearis	Green	
3/1/2024	Garden	15	Plant	Rock rose	Pavonia lasiopetala	New growth	
3/1/2024	Garden	15	Plant	Rock rose	Pavonia lasiopetala	None	
3/1/2024	Garden	16	Plant	Silver ponyfoot	Dichondra argentea	New growth	
3/1/2024	Garden	16	Plant	Black dalea	Dalea frutescens	New growth	
3/1/2024	Garden	16	Plant	Fall aster	Symphyotrichum oblongifolium	New growth	
5/17/2024	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
6/14/2024	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
7/12/2024	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
4/18/2025	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
6/27/2025	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
7/25/2025	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
9/5/2025	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
9/26/2025	Sanctuary		Plant	Pigeonberry	Rivina humilis	In bloom	
3/31/2023	Sanctuary		Plant	Pink Evening Primrose	Oenothera speciosa	In bloom	
3/15/2024	Sanctuary		Plant	Pink Evening Primrose	Oenothera speciosa	In bloom	
4/14/2023	Sanctuary		Pollinator	Pipevine Swallowtail	Battus philenor	Present	
5/5/2023	Sanctuary		Pollinator	Pipevine Swallowtail	Battus philenor	Present	
6/30/2023	Sanctuary		Pollinator	Pipevine Swallowtail	Battus philenor	Present	
3/29/2024	Garden	1	Plant	Frogfruit	Phyla nodiflora	New growth	
3/29/2024	Garden	1	Plant	Calyophus	Oenothera calylophus	Some blooms	
3/29/2024	Garden	1	Plant	Datura	Datura wrightii	New growth	
3/29/2024	Garden	2	Plant	Silver ponyfoot	Dichondra argentea	New growth	
3/29/2024	Garden	2	Plant	Mealy blue sage	Salvia farinacea	Some blooms	
3/29/2024	Garden	2	Plant	Esperanza	Tecoma stans	New growth	
3/29/2024	Garden	3	Plant	Gregg dalea	Dalea greggii	Blooming	
3/29/2024	Garden	3	Plant	Damianita	Chrysactinia mexicana	Blooming	
3/29/2024	Garden	3	Plant	Tropical sage	Salvia coccinea	Minimal new growth	
3/29/2024	Garden	4	Plant	Metz's Wild Petunia	Ruellia nudiflora	New growth	
3/29/2024	Garden	4	Plant	Heart leaf hibiscus	Hibiscus martianus	None	
